Step 181 | Loss: 5.191436767578125 | Time: 2.7814319133758545 | Tokens/s: 188495.71599387666 | LR: 0.0005997140382520752
Step 182 | Loss: 5.162899017333984 | Time: 2.7821624279022217 | Tokens/s: 188446.22252889758 | LR: 0.0005997101082560314
Step 183 | Loss: 5.078134059906006 | Time: 2.7805590629577637 | Tokens/s: 188554.8870313509 | LR: 0.0005997061514533488
Step 184 | Loss: 5.148865699768066 | Time: 2.7821736335754395 | Tokens/s: 188445.46352997553 | LR: 0.000599702167844421
Step 185 | Loss: 5.198469638824463 | Time: 2.7853407859802246 | Tokens/s: 188231.1861582464 | LR: 0.0005996981574296438
Step 186 | Loss: 5.161918640136719 | Time: 2.7818186283111572 | Tokens/s: 188469.51223354752 | LR: 0.0005996941202094158
Step 187 | Loss: 5.142878532409668 | Time: 2.783517599105835 | Tokens/s: 188354.4764252326 | LR: 0.0005996900561841385
Step 188 | Loss: 5.21509313583374 | Time: 2.7806556224823 | Tokens/s: 188548.33937759127 | LR: 0.0005996859653542152
Step 189 | Loss: 5.187012672424316 | Time: 2.781111001968384 | Tokens/s: 188517.4664473749 | LR: 0.0005996818477200531
Step 190 | Loss: 5.1992902755737305 | Time: 2.782740592956543 | Tokens/s: 188407.06939304262 | LR: 0.0005996777032820613
Step 191 | Loss: 5.143455505371094 | Time: 2.782442092895508 | Tokens/s: 188427.28168132596 | LR: 0.0005996735320406516
Step 192 | Loss: 5.193937301635742 | Time: 2.784203052520752 | Tokens/s: 188308.1047286842 | LR: 0.0005996693339962386
Step 193 | Loss: 5.104837417602539 | Time: 110.48210716247559 | Tokens/s: 4745.456196169206 | LR: 0.0005996651091492397
Step 194 | Loss: 5.113286018371582 | Time: 2.7477803230285645 | Tokens/s: 190804.19042455955 | LR: 0.0005996608575000748
Step 195 | Loss: 5.149941444396973 | Time: 2.7547316551208496 | Tokens/s: 190322.71220515654 | LR: 0.0005996565790491661
Step 196 | Loss: 5.12935733795166 | Time: 2.758781909942627 | Tokens/s: 190043.29342253204 | LR: 0.0005996522737969391
Step 197 | Loss: 5.103700160980225 | Time: 2.762347936630249 | Tokens/s: 189797.95884785312 | LR: 0.0005996479417438221
Step 198 | Loss: 5.147118091583252 | Time: 2.7644832134246826 | Tokens/s: 189651.35959371744 | LR: 0.0005996435828902449
Step 199 | Loss: 5.150188446044922 | Time: 2.767338275909424 | Tokens/s: 189455.69631443213 | LR: 0.0005996391972366412
Step 200 | Loss: 5.105494976043701 | Time: 2.7694802284240723 | Tokens/s: 189309.16878158672 | LR: 0.0005996347847834469
Step 201 | Loss: 5.05554723739624 | Time: 2.770618200302124 | Tokens/s: 189231.41410925137 | LR: 0.0005996303455311006
Step 202 | Loss: 5.093575954437256 | Time: 2.7702460289001465 | Tokens/s: 189256.83658795996 | LR: 0.0005996258794800432
Step 203 | Loss: 5.068404197692871 | Time: 2.7732603549957275 | Tokens/s: 189051.12859510363 | LR: 0.0005996213866307186
Step 204 | Loss: 5.041047096252441 | Time: 2.7722771167755127 | Tokens/s: 189118.1789971304 | LR: 0.0005996168669835738
Step 205 | Loss: 5.08340311050415 | Time: 2.7756099700927734 | Tokens/s: 188891.09264241328 | LR: 0.0005996123205390576
Step 206 | Loss: 5.076158046722412 | Time: 2.77601957321167 | Tokens/s: 188863.22166433203 | LR: 0.0005996077472976218
Step 207 | Loss: 5.047713756561279 | Time: 2.777904510498047 | Tokens/s: 188735.06919285757 | LR: 0.0005996031472597215
Step 208 | Loss: 5.0987420082092285 | Time: 2.776437282562256 | Tokens/s: 188834.80757618876 | LR: 0.0005995985204258134
Step 209 | Loss: 5.072198867797852 | Time: 2.7749736309051514 | Tokens/s: 188934.4079384948 | LR: 0.0005995938667963574
Checkpoint saved at step 210
Step 210 | Loss: 5.047091007232666 | Time: 2.7772552967071533 | Tokens/s: 188779.18807882766 | LR: 0.0005995891863718162
Step 211 | Loss: 5.030233383178711 | Time: 2.7634193897247314 | Tokens/s: 189724.36900076363 | LR: 0.0005995844791526548
Step 212 | Loss: 4.999602317810059 | Time: 2.7720155715942383 | Tokens/s: 189136.02267337628 | LR: 0.0005995797451393411
Step 213 | Loss: 5.039889335632324 | Time: 2.7702174186706543 | Tokens/s: 189258.79119321628 | LR: 0.000599574984332346
Step 214 | Loss: 5.033480167388916 | Time: 2.7747011184692383 | Tokens/s: 188952.9638021849 | LR: 0.0005995701967321421
Step 215 | Loss: 4.985594749450684 | Time: 2.773745536804199 | Tokens/s: 189018.059891703 | LR: 0.0005995653823392055
